Term,Definition,"Notes, Examples"
consider,"figyelembe vesz, fontolgat, gondol valaminek",
considerable,tekintélyes,
considerably,"jócskán, meglehetősen, lényegesen, jelentősen",
consign,"rábíz, bizományba ad, letétbe helyez",
consist,"fennáll, áll valamiből",
consistency,"következetesség, összefüggés, megegyezés, halmazállapot, tömörség, állag, összetétel",
consolidate,"megerősít, megszilárdít, konszolidál",
consonant,"mássalhangzó, egybecsengő",
consonant sound,mássalhangzó,
conspicuous,"szembeötlő, nyilvánvaló, feltűnő",
conspicuously,feltűnően,
constituent,"alkotó, alkotóelem, választópolgár",
constitute,alkot,single parents constitute a great proportion of the poor
constraint,"kényszer, tartózkodás, fizikai kényszer",
contagion,"fertőzés, ragály",
contagious,ragályos,
contamination,"szennyeződés, fertőzés",
contemplate,"szándékozik, fontolgat, szemlél",
contempt,"megvetés, lenézés",
content,"tartalom, elégedett, kielégít",
context,szövegkörnyezet,
continous aspect,folyamatos szemlélet,
continuance,"folytonosság, meghosszabbít",
contrite,"bűnbánó, vezeklő",
convenient,"kényelmes, megfelelő, alkalmas",
converge,összetart,
convertible (transportation),kabrió,
convey,"közvetít, szállít, átruház",
conveyor,szállítószalag,
conviction,meggyőződés,
convince,"meggyőz, bebizonyít",
cordial,szívélyes,I expect to hear that their dialogue was cordial and constructive.
corporeal,"testi, anyagi, fizikai",corporeal world
corrode,"rozsdásodik, szétmar, korrodálódik",
cost,"költség, ár, kerül valamibe",
countable noun,megszámlálható főnév,
counter,"ellen-, ellentét, ellentétesen, számláló, elkerülés, ellensúlyozni, számológép, vágópult",
counter-fearmongering,ellen-félelemkeltő,"This is, for instance, why counter-fearmongering cannot cure populism and unfree thinking."
counterbalance,ellensúly,
counterfeit,"hamisított, utánzat, hamisít",
counterintuitive,józan észnek ellentmondó,
counterweight,ellensúly,
courage,bátorság,
courgette,cukkíni,
coverage,"lefedettség, burkolat, beszámoló, felfedés",
coward,gyáva,
cozy,hangulatos,
crackers,"diótörő, nápolyi",
craftsman,kézműves,
cramped,"szűk, szoros, túl szűk, kényelmetlen",
crane,"daru, emel (daruval)",
crap,"marhaság, duma",
crave,"sóvárog, epedez",
craven,gyáva,
crawl from under a rock,"most mászott ki a kő alól, lekicsinylő, sértő kifejezés, arra utal, hogy a véleményed lényegtelen a beszélő számára",
creak,"nyikorog, csikorog",
creaky,nyikorgós,
creaming,tejszín,
creed,hitvallás,
creep,"kúszik, lopódzik, kúszás, szatír, tartós folyás, mászás",
creep up,felkúszik,"Fear, however, doesn’t have to be shocking and sudden. It can creep up on us slowly and gradually."
creeping,"kúszó, csúszómászó",
creepy,hátborzongató,
crew,legénység,
cringe,megalázkodik,
cripple,"nyomorék, rokkant",
crippling,"megnyomorító, bénító",
crisps,"ropogtatnivaló, chips",
criticize,kritizál,
crony,haver,
crossing,"zebra, átkelő, átkelés",
crow,"varjú, kukorékol, gügyög",
crowd,tömeg,
crowded,zsúfolt,
crowding out,"kiszorul, kiszorít",
crucial,"alapvető, döntő, kritikus",
crush,"szétzúz, belezúgás",
cuddle,ölelkezés,
culprit,"bűnös, vádlott, tettes",
cultivation,megművelés,
cumbersome,"nehézkes, fáradságos, terhes, ormótlan, kellemetlen, nehezen elviselhető",
cupboard,"(tálaló-, konyha-) szekrény, kredenc",
cupcake,muffin,
cupidity,vágy,
curious,"kíváncsi, érdeklődő",
current,áram,"The horrible thing about the Two Minutes Hate was not that one was obliged to act a part, but, on the contrary, that it was impossible to avoid joining in. Within thirty seconds any pretence was always unnecessary. A hideous ecstasy of fear and vindictiveness, a desire to kill, to torture, to smash faces in with a sledge-hammer, seemed to flow through the whole group of people like an electric current, turning one even against one’s will into a grimacing, screaming lunatic. — George Orwell: 1984"
curt,"kurta, rövid",
curtailment,"megszorítás, csökkentés",
curtsy,pukedli,
custodian,"őr, őrző, felelős",
custody,"őrizet, felügyelet",
customary,szokásos,
dammit,A fenébe!,
damn,"átkozott, káromkodás",
damnation,kárhozat,
Dammit!,basszus,
dare,"merészel, bátorkodik, kihívás, vakmerőség",
daredevil,fenegyerek,
darn,"stoppol(ás), javít(ás)",
dashboard,"műszerfal, irányítópult",
dated,régimódi,
dead end,zsákutca,
deadline,"határidő, határvonal",
deal,"üzlet, alku, egyezség, nagy mennyiség, oszt, bánik, foglalkozik vmivel",
deal breaker,kizáró ok,
deal/deal with,"kezel, menedzsel",
debate,"vita, vitatkozik",
debilitation,elgyengülés,
debility,"gyengeség, kimerültség, enerváltság",
deceased,"halott, elhunyt",
deceit,csalás,
deceive,becsap,
decency,"tisztesség, illem",
decent,"megfelelő, illedelmes",
deception,"megtévesztés, csalás",
declaration,"nyilatkozat, bejelentés, vámbevallás",declaration of war = hadüzenet
decrease,"csökken, apad, csökkenés, apadás",
deem,"tekint, vél",
defamation,rágalmazás,
defame,rágalmaz,
defeat,legyőz,
defendant,"alperes, vádlott",
deference,"beleegyezés, hódolat",
deficiency,"hiány(osság), tökéletlenség",
definite article,határozott névelő,
definitely,"minden bizonnyal, egyértelműen, pontosan",
deflection,"elhajlás, eltérés",
defy,dacol,
degradation,"lebomlás, lealacsonyítás, romlás, lefokozás",
deleterious,káros,
deliberately,szándékosan,
delight,"élvezet, gyönyörűség",
delineate,vázol,
delusion,"csalódás, tévedés",
delusional,téveszmés,
delve,"ás, kutat, üreg",
demand,"kereslet, követelés, igényel, kér, követel",
demanding,"nagyigényű, igényes",
demarcation point,demarkációs pont,
demise,"hagyományoz, haszonbérletbe ad(ás), kimúlás, elhalálozás",
demolish,"lebont, ledönt",
demonstrative,mutatószó,
denominator,"nevező (törté), névadó",
denouncement,feljelentés,
denunciation,"feljelentés, mószerolás",
department,"osztály, részleg, minisztérium, szak",
dependable,megbízható,
depict,"ábrázol, lefest, leír, lerajzol",
deplete,"elhasznál, kimerít",
deplorable,"siralmas, nyomorúságos",
deplore,"elítél, elfogadhatatlannak tart",
depraved,romlott,
deprecate,"könyörög, helytelenít",
derailment,kisiklás,
derisive,"gúnyos, gúnyolódó",
derive,"származik, származtat",
derogate,értékét csökkenti,
descriptive adjective,leíró melléknév,
deserve,megérdemel,
desperate,"kétségbeesett, reménytelen",
despise,"megvet, lebecsül",
despite,"annak ellenére, dacára, neheztelés, megvetés",he remains a great leader despite age
detached,leválasztva,"Crony-owned enterprises (COE) and other curiosities may legally look like private market players but are detached from the logic of the markets, and attempt to defy the forces of supply and demand by relying on political connections, laws written for them, and other legal but unfair means. When misbehaving or failing in their core business, these entities are sheltered by the same political connections – both legally and financially."
detained,politikai fogvatartott,
detection,"észlelés, érzékelés, észrevétel",
detention,"fogság, vizsgálati fogság",
detergent,"mosószer, tisztítószer, tisztító hatású",
deteriorate,leront,
determine,"megállapít, elhatároz",The market will determine whether Apple made the right move by dropping the 100 year old jack.
determiner,"determináns: meghatározó, (névelő is ilyen)",
devastating,pusztító,
deviation,"eltérés, letérés, mérési hiba",
devotion,odaadás,
diction,előadásmód,
diffident,félénk,
dig,"ás, magol, elbérleti szobában lakik, ásás, bökés, döfés",
digging,"ásás, ásatás",
dilatory,"halogató, késlekedő",
diligent,szorgalmas,
diluted,higított,
diminish,"csökkent, kisebbít",
diminishing,"csökkenő, fogyó",
dip,"bemárt, merül, alámerülés",
direct object,közvetlen tárgy,
directionless,céltalan,
directly,közvetlenül,
disagreeable,"kellemetlen, ellenszenves",
disapproval,"rosszallás, helytelenítés",
disassociate,kettéválaszt,"Erode the trust is other people (social capital), allow the subject to blame it on the system, while help maintain his illusion of integrity by disassociating his actions from his moral standing or by inducing moral relativism and cynicism."
disbelief,hitetlenség,
discard,"eldob, félretesz, valami, ami feleslegessé vált",
discharge,"kirakodás, lemerülés, leszerelés, elbocsát, leszerel, kirak, lemerül",
discovery,"felfedezés, felderítés",
"discreet, discrete","diszkrét (mat), tapintatos",
discrepancy,visszásság,
discretionary,"korlátlan, önkényes, megítélés szerinti",
discursive,csapongó,
disengage,"felold, kiszabadít",
disengagement,"felszabadítás, kiszabadulás, elszakadás",
disentangle,megszabadít,
dismal,elszomorító,
disparage,"becsmérel, lebecsül",
disparity,különbség,
displacement,elmozdulás,
disposal,"ártalmatlanítás, elintézés, elrendezés, felszámolás",
dispose,"rendelkezik, elrendez, hajlam, intézkedés",
disregard,"semmibe vesz, figyelmetlenség",
disruptive,"bomlasztó, repesztő, szakító, szétzüllesztő",
disseminate,"elterjeszt, elhint",
dissent,"nézeteltérés, eltérő vélemény",
dissolve,"feloszlat, feloldódik, felbomlik","Otherwise known as terror-bonding, the Stockholm syndrome is forged in fear and extreme dependence. In the wake of terror of aggression, and seeing no way out, the victim identifies with the aggressor, while his own perspective dissolves."
distance,"2 pont közötti távolság, elmozdulás, út",
distance traveled,megtett út,
distinct,"különböző, pontos, pontosan érthető, elütő, határozott",
distinctly,jellegzetesen,
distinguish,különbséget tesz,Defenders of this approach often fail to distinguish between preparations for negative scenarios and paralyzed fretting about them.
distract,"eltérít, megzavar",
distribute,"feloszt, szétoszt",
distributive pronoun,elosztó névmás,
ditched,kitaszított,
divergent,"eltérő, elütő, szétágazó",
divisive,megosztó,
dizzy,"kábult, szédülő",
docile,kezelhető (ember),
dodge,"félreugrik, kitérés, csel, kitér",
dodgy,"agyafúrt, fortélyos",
dogmatic,dogmatikus,
don't fart around,Ne szarakodj!,
don't make me laugh,ne nevettess,
doom,"végzet, elítél",
doomed,kudarcra ítélt,
dope,doppingol,
doppelgänger,élő személy duplikátuma,
double down,dupláz(ás),"When challenged about the facts, Schwartz says, Trump would often double down, repeat himself, and grow belligerent."
double-cross,"kettős kereszt, becsap",
double-decker bus,emeletes busz,
doubtful,"kétséges, kétes",
dove,galamb,
downright,"egyenesen, kimondottan",
drain,"csatorna, kimerül, elfolyik, lecsapol, csatornáz, kiszárít",
drawback,"hátrány, akadály",
drawl,"vontatottan beszél, vontatott beszéd",
dread,retteg,Everyone dreaded the black car in the night.
dreadful,"borzasztó, szörnyű, félelmetes",
dreadlocks,rasztahaj,
dress up,"kiöltözni alkalomra, beöltözni",Dress up as a clown for a Birthday party.
drift,"sodródás, hajtás, sodor, sodródik, irányul",
dripping,"csöpögő, szivárgó",
driving me nuts/crazy,"őrületbe kerget, megőrjít",
drool,nyáladzik,
dropship,csapatszállító,
drugstore,patika,
dubious,"kétes, bizonytalan",
dude,"haver, jampec",
due,"esedékes, megfelelő, követelés",
dull,"unalmas, buta, nehézkes",
duly,"kellőképp, pontosan",
dummy,"mesterséges, színlelt, ál-",
dummy subject,színlelt tárgy,
dumplings,gombóc,
duty,"vám, szolgálat, adó, kötelesség, állás, engedelmesség, funkció, feladat, illeték",
duvet,paplan,
dwell,"lakik, tartózkodik",
dwindling,fokozatosan csökkenő,Well. This should help dwindling sales surely.
eager,"mohó, buzgó","At a minimum since he's probably not eager to create a true international incident, he has zero interest in appearing in any way accommodating or helpful."
earth-shattering,világrengető,
ease,"nyugalom, könnyedség, könnyebbség, enyhít",
easy peasy,nagyon könnyű,from easy-peasy-lemon-squeezy
eat out,elmenni enni,Eat out at a restaurant
eavesdrop,"ereszalja, titkon kihallgat",
echo question,ugye-kérdés,
edge,"él, szél, éle, szegélyez, élez",
edification,tanulság,
effective,"hatásos, tényleges, hasznos",
efficient,"hatékony, eredményes, hatékonyabb, mint az effective, ami csak hat",
effrontery,arcátlanság,
eggplant,padlizsán,
egotism,"beképzeltség, önteltség",
egregious,hallatlan,
elaborate,"bonyolult, komplikált, kidolgoz, kiformál, mélyreható, alaposan kidolgozott",The psychology of torture is also elaborate on the subject of induced helplessness – on humans.
elective existential pronoun,"választható egzisztenciális névmás (anything, anybody)",
electorate,választó(polgár),
elementally,"elemien (egyszerű, basic, természetszerű)",
elucidate,"megmagyaráz, érthetővé tesz, megvilágosít",
elusive,"nehezen megfogható, ravasz",
emanate (from),"kiárad, kiömlik",warmth emanated from the fireplace
embark,"vállalkozik, elindul, behajóz",
embarrass,"megzavar, zavarba hoz",Put those factors together and Peña Nieto has massive and overlapping reasons to want to embarrass Trump.
embarrassing,"kínos, zavaró",
embellishment,díszítés,
embrace,ölel(és),
emerge,"felbukkan, kiemelkedik, felszínre kerül",
emission,"kibocsátás, sugárzás",
emphasis,kiemelés,
emphasize,"hangsúlyoz, kiemel",
employee,"munkavállaló, alkalmazott",
employer,"munkáltató, munkaadó",
empower,felhatalmaz,
enact,"elrendel, alakít",
encounter,"találkozás, találkozik, összeakad, összetalálkozik",
encourage,"ösztönöz, bátorít, bíztat",
encumber,"akadályoz, terhel, meggátol",
endeavor,"törekvés, igyekezet",
ending -s,s végződés,
endorse,"jóváhagy, láttamoz, helyesel",
endorsement,jóváhagyás,
endurable,"tartós, kibírható",
endure,"elvisel, tart",
enforcement,"végrehajtás, kikényszerítés",
engage,"lefoglal, harcba lép, eljegyez",
engaged,elkötelezett,
engaging,"megnyerő, vonzó",
engender,"szül, létrejön, nemz, keletkezik, fogan",
engine,"motor, gép, mozdony",
engineer,"mérnök, gépész, tervez, konstruál",
enhance,fokoz,
enhancement,"fokozás, kiemelés",
enlightened,felvilágosult,
ensure,biztosít,
entail,"hitbizomány, maga után von, hitbizományul hagy",
entangle,"összezavar, belebonyolít",
enthusiasm,"lelkesedés, rajongás",
entice,"csábít, rávesz",
enticing,csábító,
entirety,teljes egészében,
entitled,jogosult,
entrepreneur,vállalkozó,
enumerate,felsorol,
envelope,"boríték, burkolat",
envious,irigy,
envision,"elképzel, felidézi vminek a képét, beleképzel",
envy,irigység,
epic,"epikus, eposz, szlengben szinonimája: nagyszerű, grandiózus, óriási, erős",
epitome,"összegzés, összefoglalás, eszencia",
equip,"felszerel, berendez, felállít",
equipment,"felszerelés, fegyverzet, berendezés",
erode,"erodál, szétrág, kimar",
erratic,"akadozó, változó, tévelygő",
eruption,kitörés,
espouse,"támogat, eljegyez",
establishment,"intézmény, állandó szervezet, berendezkedés",
estate,"birtok, vagyon",
estimate,"becslés, felbecsül, kalkuláció, értékmegállapítás",
evaluate,"értékel, kiértékel, felbecsül, elbírál",
evanescent,"elenyésző, tünékeny",
evaporate,"párolog, elillan",
even more,"még több, még inkább",
evenly,egyenletesen,
evenness,"egyenletesség, simaság, higgadtság",
evoke,megidéz,
evolve,"fejlődik, kialakít",
exacerbate,"súlyosbít, bőszít",
exaggerate,túloz,
exaggeration,túlzás,
exceed,"meghalad, túlszárnyal",exceeded my expectations
excess,"többlet, túlsúly, mértéktelenség, kicsapongás",
excessive,"túlzott, mértéktelen, túlságos, szertelen, határtalan",
exchange,"csere, cserél, átvált",
exchange presents,ajándékot váltani,Exchange presents with somebody means I take and get present same time.
excommunication,"kiközösítés, egyházi átok",
exertion,"erőfeszítés, használat",
exhaustive,kimerítő,
exhibit,"kiállít, bemutat, kiállítási tárgy",
expedience,célszerűség,
expedient,"célszerű, alkalmas, fortély, eszköz",
expeditiously,gyorsan és hatékonyan,
expert,"szakértő, szakember, jártas",
explanted,"megfizetett a bűnéért, megbűnhődött, kivett",
exploit,"hasznosít, kizsákmányol, hőstett",
exponentially,exponenciálisan,
expose,"exponál, kitesz, kifejt",
express,kifejez,
expression,"kifejezés, fordulat",
extensive,"kiterjedt, széleskörű, átfogó",
extensively,alaposan,
extinction,kihalás,
extol,magasztal,
extract,"kivon, kivonat",
extraneous,"idegen, nem oda tartozó",
extremists,szélsőségesek,
extricate,kiszabadít,
eyesight,látás,
fabric,"szövet, anyag",
fabulist,meseíró,
façade,"homlokzat, oromzat",
facilitate,megkönnyít,"After all, the addition of a caring mother figure can only facilitate our regression into infantile dependence that had been started by fatherly terror."
facility,"létesítmény, adottság, képesség, könnyedség, tehetség, ügyesség",
factor,"alkotóelem, tényező, faktor, tényező, szerep",
faculty,"tehetség, erő, egyetemi fakultás, valamiféle felhatalmazás",
facsimile,hasonmás,
faintly,"halványan, enyhén, gyengén",in a faint manner
fallacious,"csalóka, megtévesztő",
fallacy,"tévedés, csalás, megtévesztés, félrevezetés, csúsztatás (logikai is)",
falsify,hamisít,
famine,éhínség,
fancy,"képzel, képzelet, felruház, divatos, díszes",
far behind,jóval mögötte,
farce,komédia,
fare,"viteldíj, étel, utas",
fascinating,elbűvölő,
fastidious,"kényes, finnyás, kényszeres",
fathom,"öl (mint mértékegység), megmér, megért",
fear,"félelem, aggódás, fél, retteg",
feasible,"megvalósítható, lehetséges, ésszerű, valószínű, alkalmas",
feat,"bravúr, hőstett",
feed,"etet, takarmány",
feisty,harcias,
felony,"bűncselekmény, bűntett",
ferry,"komp, átkel, rév, komphajó",
ferryman,révész,
fertile,"termékeny, termő",
fertilize,"trágyáz, (meg)termékenyít",
fertilizer,trágya,Proper use of slurry and fertilizer are essential to the recovery of silage aftermaths right now.
festive,ünnepi,
feverish,"lázas, túlfűtött",
few bucks,néhány dollár,
fickle,ingatag,
fiddle,"hegedű, hegedül, idegesen matat vmin, hamisít (szépít)",everyone is fiddling their expenses
fierce,"vad, erőszakos, szlengben vmi extra",
fig,füge,
figment,koholmány,
figuratively,átvitt értelemben,
figure out,"kitalál, kiszámít",
find,"lelet, megtalál, felfedezés",
fingers crossed,drukkol,I keep my fingers crossed for you
finicky,válogatós,
firm,"1. cég, társaság, 2. kemény, erőteljes",
firmly,"határozottan, szilárdan",
first foot,"skót népszokás, első újévi látogató",
fit,"megfelelő, illő, egészséges, megfelel, illik vkire, roham, görcs, ruha állása",
fixture,"(régi) bútordarab (átvitt értelemben is), alkatrész",
fizzy drinks,szénsavas italok,
flagrant,botrányos,
flair,"szimat, ösztönös hajlam",
flamboyant,rikító,
flashback,visszapillantás,
flatmate,lakótárs,
flatter,"hízeleg, hiteget",
flattering,hízelgő,
flattery,hízelgés,
flaw,"hiba, rés, tévedés, gyártási hiba, jogi alaki hiba, tökéletlenség",
flee,"elmenekül, megfutamodik, idő elröppen",
fleece,"gyapjú, megnyúz",
fleeceable,naiv,
fleet(ing),"múlékony, múlandó, múló",
flick,fricska,
fling,"hajít, dob",
flint,"kovakő, pattintott kőszerszám",
flood,"árvíz, árad, eláraszt",
flop,"lepottyant, pottyanás, flip flop modell 2. fázisa",
floppy,laza,
floss,"hernyóselyem, fogselyem",
flourish,"virágzik, fejlődik, jólét, cikornya",
flourishing,"virágzó, kicsattanó",
flow,"folyam, áramlás, folyik, ömlik, áramlik",
fluent,"folyékony, gördülékeny",
foil,"fólia, kiemel, megakadályoz",
fold,"összehajt, karámba terel, karám, nyáj, hívők, borítás",
follow-up,"utánkövetés, utólagos, nyomon követés",
folly,"ostobaság, butaság",
fond,"szerető, gyengéd, hiszékeny",I'm very fond of him
fondling,dédelgető,
fondly,gyengéden,
for example,például,
for the day,"egy napra (akármikor: múltban, jövőben)",I went out for the day.
foray,"behatol(ás), fosztogatás, bejutás",
force-feed,mesterségesen táplál,
forefront,homlokzat,
foresee,"előrelát, megjósol",
foreshadow,"sejtet, előjel",
foretell,megjósol,
forgo,lemond,
fork,"villa, elágazás, elágazik",
form,alak,
formally,formálisan,
former,"előző, korábbi, volt",
formerly,"korábban, régebben",
formless,alaktalan,
forsake,"elhagy, cserbenhagy",
foster,"dajkál, ápol, felnevel, támogat",
fraction,"töredék, tört",
fragile,"törékeny, gyenge",
frailty,"vétek, törékenység",
frankness,"őszinteség, nyíltság",
fraud,"csalás, csaló, rászedés",
fraudulent,"csaló, fondorlatos",
freak,"szörnyszülött, csíny, vadul és váratlanul viselkedik pl. drog miatt",
freaking,rohadt,
free will,"szabad akarat, önkétes",
frequent,gyakori,
fret,"izgat, nyugtalanít","Not just because it is unfairly hard to fix the world for everyone, but because the logic of threat-seeking dictates that there will always be something to fret."
friction,"súrlódás, dörzsölés",
fried egg,tükörtojás,
frigging,nyamvadt,
frostbite,"fagykár, fagyás",
fudge,"hamisítvány, meghamisít, karamell",
fulfill,"eleget tesz, teljesít, végrehajt",
full-blown,"teljesen kibomlott, kibontakozott, teljes, érett",
full-fledged,"teljes jogú, teljesen kifejlődött, érett",
fume,füst,
furious,"dühös, haragos",
further,"további, távolabbi, távolabb lévő, messzebb, támogat, tovább, far középfoka",
furthermore,"továbbá, ráadásul",she's always fussing about her food
fury,düh,
fuss,"fontoskodás, zsivaj, pattog",
fussy,fontoskodó,
futile,hiábavaló,
futility,"haszontalanság, jelentéktelenség",
future tense,jövő idő,
gain,"nyereség, nyer, elér, haszon, szerez",
gamble,szerencsejáték,
game-changer,"Olyan személy vagy dolog, ami megjelenésével drasztikusan változtat a dolgok szokásos menetén",
gape,"ásítás, ásítozik, tátja a száját",
gaping,tátongó,
garner,"csűr, tárház, gabonát betakarít",
garter,harisnyakötő,
gasp,zihál,
gauge,"nyomtáv,  műszer, megmér",
gaze,"tekintet, bámul(ás)",
gear,"fogaskerék, felszerelés, sebesség, cucc, bekapcsol, sebváltó",
general determiner,általános determináns,
genuinely,hitelesen,"I understand people voting for him because he's not Hillary, but you genuinely like him!"
germ,"csíra, baktérium, kicsírázik",
get a life!,"kezdj el élni, foglalkozz valami értelmessel",
get rid of,"megszabadul valamitől, eltávolít",
get rid of it,megszabadulni tőle,
getting caught up in the hype,magával ragadja a hype,
gibberish,értelmetlen beszéd,
gimmick,"ravasz trükk, készülék",useless gimmick
gist,lényeg,"A lot to read, but I got the gist of it."
give in,"bead, benyújt, felad",
giveaway,"ajándék, ráadás, olcsó termék",
glacier,gleccser,glacier pace
glance,"pillant, tekint, pillantás",
glare at him,"rámered, kimeredt szemekkel bámulja",
glaring,"csillogó, ragyogó",
glean,"szed, gyűjtöget, tallóz",
glib,"sima, gördülékeny",
glimpse,futó pillantás,
glorified,"dicsőít(ett), magasztal(t), megdicsőült",
gloss,máz,
goatee,kecskeszakáll,
gobble,zabál,
goblin,kobold,
god dammit,Isten verje meg,
gonna,lesz,
good will,"jóakarat, vevőkör, jó üzleti hírnév",
goofy,"ostoba, hülye",
gooseberry,egres,
gorgeous,"gyönyörű, nagyszerű, pompás",
gosh,Mindenit!,
gown,"talár, köntös, talárba öltözik",
gradualism,fokozatosság,
grandiose,"grandiózus, nagyszerű, bombasztikus, fellengzős",
grant,"engedélyez, átruház, engedményez",
grasp,"fogás, markolás, markol, fog, felfog, átérez","The issues of conditional stupidity, prejudice and conditional morality clearly highlight why our view of other people matters enormously – even if it is hard to grasp how exactly it works."
gratitude,hála,
grave,"sír(halom), komoly (probléma)",
gravy,"szaft, mártás",
greed,"kapzsiság, mohóság",
greedy,"kapzsi, mohó",
gregarious,"társas, csoportokban járó",
grief,"bánat, gyász, fájdalom",
grim,"zord, kegyetlen",
grind,"darál, őröl, darálás, őrlés",
grind on,felőröl,"The cold reality of dictatorship grinds on human dignity, saps your life force and leaves only capitulation and emptiness behind."
grip,"markolat, fogás, megmarkol",
gripe,"markolat, fogás, megmarkol",
grit,"homokkő, porszem, csikorog, ropog, beszór homokkal",
gross,"bruttó, nagy, otromba, kövér, tömeg, zöm",
group nouns,csoport,
growing crops,növényt termelni,
grudgingly,kelletlenül,
grumpy,"zsémbes, ingerlékeny, rosszkedvű",
grunt,röhögés,
grunt work,alantas munka,
guess,"Találd ki!, találgatás, sejtés, feltevés, gyanítás, találgat, kitalál",
gulf,"öböl, örvénylés, árok",a wide gulf between theory and practice
gull,"1. sirály, 2. balek, 3. rászed, rászedés",
gullible,hiszékeny,
gun-toting,felfegyverzett,
gush,"áradat, ömlés, kiömlik, folyik",
gut,"bél, kizsigerel, kibelez",
habit,"szokás, habitus, viselkedésmód",
habitant,lakó,
habitually,"szokás szerint, szokásos módon",
hackneyed,"elcsépelt, elkoptatott",
hairdresser,fodrász,
halfwit,féleszű,
hallmark,fémjel,
hammock,függőágy,
hamstrung,"bénító, megbénít",
hand(ing),átad(ás),
handcrafts,kézműves,
handful,maréknyi,
handheld,kézi,
handlebars,biciklikormány,
hands down,"összehasonlítás, vita nélkül",
handyman,ezermester,
hang on!,várj!,
hangout,"lógni, zsiványtanya",
"hangover, have a hangover",másnaposság,Laura was not a Happy Camper' when a bear ate all her food.
haphazard,"rendszertelenül, véletlen, esetleges",
happening,esemény,
happy camper,"elégedett napközis, vmivel elégedett",his father was a hard-to-please taskmaster
harbinger,"előhírnök, előjel, közeledtét hirdeti",
hard nosed,"racionális gondolkodású, makacs, keményfejű, pragmatikus, földhözragadt karakter",
hard to please,"nehéz kielégíteni,",
harm,"sérelem, kár, baj, kárt okoz",
harmless,"ártalmatlan, ártatlan",
harmonious,"harmonikus, békés, összetartozó",
harsh,"durva, nyers, érdes",
hassle,"szóváltás, vita",
hatred,gyűlölet,
hattrick,mesterhármas,
haul,"húz, vontat, szállít, húzás, vontatás, szállítás",
haunt,kísért,"If people wanted anything from the West it was the symptoms of freedom: being able to buy Gorenje appliances and western style wealth. And democratisers thought that the confusion was harmless, and it would never come back to haunt them."
have a day off,van egy szabadnapja,
havoc,pusztítás,
hazard,"veszély, kockázat, veszélyeztet, kockáztat",
hazardous,"veszélyes, kockázatos",
he has something going on,valami van vele,
headlight,fényszóró,
heal,"gyógyít, jóvátesz",
heartfelt,"szívből jövő, őszinte",
heavy-duty,nagy teherbírású,
hedge,"sövény, bekerít",
hefty,"izmos, nehéz",
heinie,"fenék, hátsó, valaki hülye",
hellbent,tivornya,
helluva,pokoli,
helplessness,tehetetlenség,
hence,"ennélfogva, ezért, innen, ezentúl, mától kezdve",
henchmen,pribék,
here and there,itt-ott,
heretic,eretnek,
hermit,remete,
hideous,"förtelmes, undok, csúnya",
hideout,relytekhely,
high-rolling,"Aki, amely szervezet nagy lábon él, nagy költései vannak, szerencsejátékos. Nagyban játszó.",
highlights,"főbb, fénypontok, kihangsúlyoz, kiemel, előtérbe hoz",
highly,nagyon,
highway,országút,
hijack,"eltérít, elrabol, megrabol, eltérítés, kirablás",
hike,"túra, vándorlás, túrázik, vándorol, felmászik (ár)",
hilarious,"vicces, derűs",
hindrance,"akadály, akadályozás, megakadályoz",
hit the nail on the head,fején találta a szöget,
hitch,"akadály, nehézség, rántás (mozdulat)",
hoard,"felhalmoz, összegyűjt, készlet","Dude, stop hogging the controller. I want to play."
hog(ged),"disznó, disznó módra viselkedik (pl. önző), kisajátít",
hoist,"emelő, csörlő, emel, felvon",
hold your horses,türelem rózsát terem,
hollow,"üres, üreges, üreg, mélyedés, kiás, kiváj",
holly,"szent, magyal",
honest,"becsületes, őszinte",
honestly,"őszintén, becsületesen, nyíltan","No one cares, honestly."
hook up,"felakaszt, beakaszt",
horny,"erős a libidója, nagyétkű (szexuálisan), felajzott",
horrendously,borzasztóan,
horrible,"szörnyű, borzasztó",
horrid,"borzalmas, szörnyű",
horses for courses,ízlések és pofonok,
hostile,"ellenséges, rosszindulatú",
hubris,önhittség,
huddle,"összezsúfolódik, csoportosul, nyomorog (tömeg, emberek egy csoportja), összebújik",they huddled together for warmth
hulking,"nehézkes, esetlen, ostoba, bumfordi",
humble,"alázatos, szerény, alacsony, megaláz, lealacsonyodik",
humiliate,"megaláz, lealacsonyít",
hunch,"púp, előérzet",
hypothesis,feltevés,
I am in charge,én vagyok a felelős,
I am off,Léptem.,
I’m a wee bit flustered.,kicsit ideges vagyok,
i'm on my own,a magam ura vagyok,
idea,"eszme, ötlet",
ignorance,"nem ismerés, tudatlanság",
ignore,figyelmen kívül hagy,
illicit,illegális,
immanent,"immanens, bennmaradó, bensőleg hozzátartozó",
immense,óriási,
immersive,magával ragadó,
imminent,"fenyegető, küszöbön álló",
imo,véleményem szerint (in my opinion),
impact,"hatás, befolyás, lökés, becsapódás, ütődés, befog, beékel",
impair,"ront, károsít, meggyengít",
impending,"küszöbön álló, közelgő",
imperative,felszólító mód,
impersonate,megszemélyesít,
impetuous,"heves, féktelen, temperamentumos",
implement,"végrehajt(ás), teljesít(és), megvalósít(ás)",
implode,"összeomlik, elszaródik magától, beomlik",
imply,maga után von,
impolite,udvariatlan,
impose,"ró, kivet, rátesz",
impoverished,elszegényedett,
