English,Hungarian
respect,tisztelet
respond,reagál
response,válasz
responsibility,felelősség
responsible,felelős
rest,pihenés
restaurant,étterem
result,eredmény
results,eredmények
retired,nyugdíjas
retreat,visszavonulás
return,Visszatérés
returned,visszatért
returning,visszatérő
returns,visszatér
reveal,felfed
revealed,kinyilatkoztatott
revenge,bosszú
reverend,tisztelendő
reverse,fordított
review,felülvizsgálat
revolution,forradalom
reward,jutalom
rex,újság
rhythm,ritmus
rice,rizs
rich,gazdag
richard,Richard
rick,rick
ricky,ricky
rid,megszabadít
ride,lovagol
ridiculous,nevetséges
riding,lovaglás
rifle,puska
right,jobb
rights,jogok
riley,riley
ring,gyűrű
ringing,csengés
rings,gyűrű
rip,Nyugodj békében
ripped,szakadt
rise,emelkedik
rising,emelkedő
risk,kockázat
risks,kockázatok
risky,kockázatos
rita,rita
river,folyó
road,út
roads,utak
roaring,ordítozó
rob,rabol
robbed,kirabolták
robbery,rablás
robert,Robert
robin,vörösbegy
robot,robot
rock,szikla
rocket,rakéta
rocks,sziklák
rocky,sziklás
roger,Roger
role,szerep
roll,tekercs
rolling,gördülő
roman,római
romance,románc
romantic,romantikus
rome,Róma
romeo,Rómeó
ron,ron
ronnie,Ronnie
roof,tető
room,szoba
roommate,szobatárs
rooms,szobák
root,gyökér
rope,kötél
rosa,rosa
rose,rózsa
roses,rózsa
rosie,Rosie
ross,Ross
rotten,rothadt
rough,durva
round,kerek
rounds,kerek
route,útvonal
routine,rutin
row,sor
roy,roy
royal,királyi
rub,dörzsölés
rubber,radír
rubbish,szemét
ruby,rubin
rude,durva
ruin,ROM
ruined,romos
rule,szabály
rules,szabályok
rumbling,dörgés
rumor,szóbeszéd
rumors,pletykák
run,fuss
running,futás
runs,futás
rush,rohanás
russell,Russell
russia,Oroszország
russian,orosz
russians,oroszok
rusty,rozsdás
ruth,Ruth
ryan,Ryan
sack,zsák
sacred,szent
sacrifice,áldozat
sad,szomorú
safe,biztonságos
safely,biztonságosan
safer,biztonságosabb
safety,biztonság
said,mondott
sail,vitorla
saint,szent
sake,kedvéért
salad,saláta
salary,fizetés
sale,eladás
sales,értékesítés
salt,só
sally,kirohanás
sam,SAM
samantha,Samantha
same,azonos
sammy,Sammy
sample,minta
samples,minták
san,SAN
sand,homok
sandra,Sandra
sandwich,szendvics
sandy,homokos
sang,énekelt
santa,Télapó
sara,Sara
sarah,Sára
sarge,szarge
sat,ült
satan,Sátán
satellite,műhold
satisfied,elégedett
saturday,szombat
sauce,szósz
save,megment
saved,mentett
saving,megtakarítás
saw,fűrész
say,mond
saying,mondás
says,mond
scale,skála
scan,letapogatás
scandal,botrány
scar,sebhely
scare,megijeszt
scared,megrémült
scary,ijedős
scene,színhely
scenes,jelenetek
schedule,menetrend
school,iskola
schools,iskolák
science,tudomány
scientific,tudományos
scientist,tudós
scientists,tudósok
scoffs,gúnyol
score,pontszám
scotch,skót
scotland,Skócia
scott,Scott
scout,cserkész
scratch,karcolás
scream,sikoly
screaming,sikoltozás
screams,sikít
screeching,sikoltozás
screen,képernyő
screw,csavar
screwed,csavart
script,forgatókönyv
scum,hab
sea,tenger
seal,fóka
sealed,zárt
sean,Sean
search,keresés
searched,átkutatott
searching,keresés
season,évad
seat,ülés
seats,ülések
sebastian,sebastianus
sec,SEC
second,második
seconds,másodpercek
secret,titok
secretary,titkár
secrets,titkok
section,szakasz
secure,biztonságos
security,Biztonság
see,lát
seeing,látás
seek,keres
seem,látszik
seemed,úgy tűnt
seems,úgy tűnik
seen,látott
sees,lát
self,maga
selfish,önző
sell,elad
selling,eladási
senator,szenátor
send,Küld
sending,küldés
sends,küld
senior,idősebb
sense,érzék
senses,érzékek
sensitive,érzékeny
sent,küldött
sentence,mondat
separate,különálló
separated,elválasztott
september,szeptember
sergeant,őrmester
serial,sorozatszám
series,sorozat
serious,komoly
seriously,Komolyan
servant,szolgáló
servants,szolgák
serve,szolgál
served,kiszolgált
service,szolgáltatás
services,szolgáltatás
serving,szolgáló
session,ülés
set,készlet
seth,seth
sets,készletek
setting,beállítás
settle,letelepedés
settled,rendezett
seven,hét
several,számos
severe,szigorú
sex,szex
sexual,szexuális
sexy,szexis
shadow,árnyék
shadows,árnyék
shake,ráz
shaking,rázás
shall,fog
shame,szégyen
shane,Shane
shape,alak
share,Ossza meg
shared,megosztott
sharing,megosztás
shark,cápa
sharp,éles
shave,borotválkozás
shawn,shawn
she,ő
shed,fészer
sheep,juh
sheet,lemez
sheets,ágynemű
shell,héj
shelter,menedék
sheriff,seriff
shh,SHH
shield,pajzs
shift,váltás
shine,ragyog
shining,csillogó
ship,hajó
ships,hajók
shirt,ing
shit,szar
shitty,szar
shock,sokk
shocked,döbbent
shoe,cipő
shoes,cipő
shoot,lő
shooter,vadász
shooting,lövés
shop,üzlet
shopping,bevásárlás
shore,part
short,rövid
shortly,hamarosan
shot,lövés
shots,felvételek
should,kellene
shoulder,váll
shoulders,vállak
shouldn,nem szabad
shout,kiáltás
shouting,kiabálás
shouts,kiáltás
shove,lök
show,előadás
showed,megmutatott
shower,zuhany
showing,bemutatás
shown,Látható
shows,műsorok
shut,bezár
shy,félénk
sick,beteg
sid,side
side,oldal
sides,oldal
sighing,sóhajt
sighs,sóhajt
sight,látás
sign,jel
signal,jel
signature,aláírás
signed,aláírt
significant,jelentős
signing,aláírás
signs,jelek
silence,csend
silent,csendes
silk,selyem
silver,ezüst
silly,bolondos
similar,hasonló
simon,Simon
simple,egyszerű
simply,egyszerűen
sin,bűn
since,mivel
sing,énekel
singer,énekes
singh,singh
singing,éneklés
single,egyetlen
sings,énekel
sink,mosogató
sins,bűnök
sir,uram
sire,apa
siren,sziréna
sirens,szirénák
sis,sis
sister,nővér
sisters,nővérek
sit,ül
site,webhely
sits,ül
sitting,ülés
situation,helyzet
six,hat
sixth,hatodik
size,méret
skill,készség
skills,készség
skin,bőr
skinny,sovány
skip,kihagyás
skirt,szoknya
skull,koponya
sky,ég
slap,pofon
slave,rabszolga
slaves,rabszolgák
sleep,alvás
sleeping,alvás
slept,aludt
slide,csúszik
slight,enyhe
slightly,némileg
slip,csúszás
slipped,csúszott
slow,lassú
slowly,lassan
slut,kurva
small,kicsi
smaller,kisebb
smart,Okos
smarter,okosabb
smash,összetör
smell,szag
smells,szagok
smile,mosoly
smiling,mosolygás
smith,Kovács
smoke,füst
smoking,dohányzó
smooth,sima
snake,kígyó
snap,bepattan
sneak,settenkedik
snow,hó
soap,szappan
sobbing,zokogás
sober,józan
soccer,futball
social,szociális
society,társadalom
socks,zokni
soda,szóda
soft,puha
softly,halkan
soil,talaj
solar,nap
sold,eladott
soldier,katona
soldiers,katonák
solid,szilárd
solo,szóló
solution,megoldás
solve,megold
solved,megoldott
some,néhány
somebody,valaki
someday,majd egyszer
somehow,valahogy
someone,valaki
someplace,valahol
somethin,valami
something,valami
sometime,majd valamikor
sometimes,néha
somewhere,valahol
son,fiú
song,dal
songs,dalok
sonic,szonikus
sons,fiai
sonny,fiacskám
soon,hamar
sooner,hamarabb
sophie,Sophie
sore,fájó
sorrow,bánat
sorry,sajnálom
sort,fajta
sorts,válogatás
soul,lélek
souls,lelkek
sound,hang
sounded,hangzott
sounds,hangok
soup,leves
source,forrás
south,déli
southern,déli
soviet,szovjet
space,hely
spain,Spanyolország
spanish,spanyol
spare,tartalék
speak,beszél
speaker,hangszóró
speaking,beszélő
speaks,beszél
special,különleges
species,faj
specific,különleges
specifically,kimondottan
speech,beszéd
speed,sebesség
spell,varázslat
spencer,csésze
spend,tölt
spending,kiadások
spent,költött
spider,pók
spike,tüske
spin,centrifugálás
spirit,szellem
spirits,szellemek
spiritual,lelki
spit,nyárs
splendid,pompás
split,hasított
spoil,zsákmány
spoke,beszéltem
spoken,beszélt
sport,Sport
sports,sport
spot,folt
spots,helyek
spotted,észlelve
spread,terjedés
spring,tavaszi
spy,kém
squad,osztag
square,négyzet
squeeze,présel
st.,utca.
stab,szúrás
stabbed,szúrt
stable,stabil
staff,személyzet
stage,színpad
stairs,lépcsők
stake,tét
stan,stan
stand,állvány
standard,alapértelmezett
standing,álló
stands,állvány
stanley,Stanley
star,csillag
stare,bámul
staring,bámulás
stars,csillagok
start,Rajt
started,elindult
starting,indulás
starts,elindul
starving,éhező
state,állapot
statement,nyilatkozat
states,Államok
station,állomás
stations,állomások
statue,szobor
status,állapot
stay,marad
stayed,maradt
staying,tartózkodás
stays,marad
steady,állandó
steak,steak
steal,lop
stealing,lopás
steam,gőz
steel,acél
step,lépés
stephen,István
stepped,lépett
steps,lépések
steve,Steve
steven,István
stick,rúd
sticking,ragasztás
sticks,botok
still,még mindig
stink,bűz
stinks,büdös
stock,Készlet
stole,stóla
stolen,lopott
stomach,gyomor
stone,kő
stones,kövek
stood,állt
stop,állj meg
stopped,leállt
stopping,megálló
stops,megállít
storage,tárolás
store,bolt
stories,történetek
storm,vihar
story,sztori
straight,egyenes
strange,furcsa
stranger,idegen
strangers,idegenek
strategy,stratégia
street,utca
streets,utcák
strength,erő
stress,feszültség
stretch,nyújtás
strike,sztrájk
strikes,sztrájk
string,húr
strip,szalag
stroke,ütés
strong,erős
stronger,erősebb
struck,ütött
structure,szerkezet
struggle,küzdelem
struggling,küzdelem
stuart,stuart
stubborn,makacs
stuck,megragadt
student,diák
students,diákok
studied,tanult
studies,tanulmányok
studio,stúdió
study,tanulmány
studying,tanul
stuff,dolog
stuffed,töltött
stupid,hülye
style,stílus
subject,tantárgy
subtitles,felirat
succeed,sikerül
success,siker
successful,sikeres
such,ilyen
suck,szív
sucker,szívó
sucks,szar
sudden,hirtelen
suddenly,hirtelen
sue,perel
suffer,szenvedni
suffered,szenvedett
suffering,szenvedő
sugar,cukor
suggest,javaslat
suggested,javasolt
suggesting,javaslat
suicide,öngyilkosság
suit,öltöny
suitcase,bőrönd
suite,lakosztály
suits,ruhák
sum,összeg
summer,nyár
sun,nap
sunday,vasárnap
sunshine,napfény
sunny,napos
super,szuper
superior,kiváló
superman,felsőbbrendű ember
supper,vacsora
supplies,készletek
supply,kínálat
support,támogatás
suppose,tegyük fel
supposed,feltételezett
supreme,legfőbb
sure,biztos
surely,biztosan
surface,felület
surgeon,sebész
surgery,sebészet
surprise,meglepetés
surprised,meglepődött
surprises,meglepetés
surprising,meglepő
surrender,megadás
surrounded,körülvett
surveillance,felügyelet
survival,túlélés
survive,túlél
survived,túlélt
susan,Susan
suspect,gyanúsított
suspected,feltételezett
suspects,gyanúsítottak
suspended,felfüggesztett
suspicious,gyanús
swallow,Nyel
swear,esküszik
sweat,izzad
sweep,söprés
sweet,édes
sweetheart,Édesem
sweetie,édesem
swell,dagad
swim,úszás
swimming,úszás
swing,hinta
switch,kapcsoló
sword,kard
sydney,Sydney
symbol,szimbólum
symptoms,tünetek
sync,szinkronizál
system,rendszer
systems,rendszer
table,asztal
tables,asztalok
tag,címke
tail,farok
take,vesz
taken,vett
takes,felvétel
taking,bevétel
tale,mese
talent,tehetség
talented,tehetséges
talk,beszélgetés
talked,beszélt
talkin,beszélő
talking,beszél
talks,tárgyalások
tall,magas
tank,tartály
tap,Koppintson a
tape,szalag
tapes,szalagok
tara,Tara
target,cél
task,feladat
taste,íz
tastes,ízlés
tattoo,tetoválás
taught,tanított
tax,adó
taxes,adók
taxi,Taxi
taylor,Taylor
tea,tea
teach,tanít
teacher,tanár
teachers,tanárok
teaching,tanítás
team,csapat
teams,csapatok
tear,könny
tears,könnyek
tech,műszaki
technically,technikailag
technique,technika
technology,technológia
ted,ted
teddy,mackó
teenage,tizenéves
teeth,fogak
telephone,telefon
television,televízió
tell,Mondd
telling,sokatmondó
tells,elmondja
temper,kedély
temperature,hőfok
temple,templom
temporary,ideiglenes
ten,tíz
tend,hajlamos
tender,pályázati kiírás
tennis,tenisz
tense,feszült
tension,feszültség
tent,sátor
term,kifejezés
terms,kifejezés
terrible,szörnyű
terribly,szörnyen
terrific,félelmetes
terrified,rémült
territory,terület
terror,terror
terrorist,terrorista
terrorists,terroristák
terry,tompa
test,teszt
tested,tesztelt
testify,tanúsít
testimony,bizonyság
testing,tesztelés
tests,tesztek
texas,Texas
text,szöveg
than,mint
thank,köszönet
thanks,Kösz
thanksgiving,hálaadás
that,hogy
the,a
theater,színház
theatre,színház
thee,téged
theft,lopás
their,az övék
them,őket
theme,téma
themselves,maguk
then,akkor
theory,elmélet
therapy,terápia
there,ott
therefore,ebből adódóan
these,ezek
they,ők
thick,vastag
thief,tolvaj
thieves,tolvajok
thin,vékony
thing,dolog
things,dolgok
think,gondol
thinking,gondolkodás
thinks,azt hiszi
third,harmadik
thirsty,szomjas
thirty,harminc
this,ez
thomas,Tamás
those,azok
thou,te
though,bár
thought,gondolat
thoughts,gondolatok
thousand,ezer
thousands,ezrek
threat,fenyegetés
threaten,fenyeget
threatened,fenyegető
threatening,fenyegető
threats,fenyegetés
three,három
threw,dobta
throat,torok
throne,trón
through,keresztül
throughout,egész
throw,dobás
throwing,dobás
thrown,dobott
thunder,mennydörgés
thursday,csütörtök
thus,és így
thy,tiéd
ticket,jegy
tickets,jegyek
tie,nyakkendő
tied,bekötött
ties,kötés
tiger,tigris
tight,szoros
till,amíg
tim,Tim
time,idő
times,idő
timing,időzítés
tin,ón
tina,tina
tiny,apró
tip,tipp
tire,gumi
tired,fáradt
tires,gumiabroncsok
tissue,szövet
title,cím
tits,mell
toast,pirítós
toby,Toby
today,Ma
todd,todd
toes,lábujjak
together,együtt
toilet,WC
tokyo,Tokió
told,mondta
tom,Tom
tommy,Tommy
tomorrow,holnap
ton,tonna
tone,hangzás
tongue,nyelv
tonight,ma este
tons,tonna
tony,Tony
too,is
took,vett
tool,eszköz
tools,szerszámok
tooth,fog
top,felső
torn,szakadt
torture,kínzás
toss,dobás
total,teljes
totally,teljesen
touch,érintés
touched,érintett
touching,megható
tough,kemény
tour,túra
toward,felé
towards,felé
towel,törülköző
tower,torony
town,város
toy,játék
toys,játékok
trace,nyom
track,nyomon követni
tracking,követés
tracks,pályák
tracy,tracy
trade,kereskedelmi
tradition,hagyomány
traditional,hagyományos
traffic,forgalom
tragedy,tragédia
tragic,tragikus
trail,nyom
trailer,filmelőzetes
train,vonat
trained,kiképzett
training,kiképzés
traitor,áruló
transfer,átruházás
transferred,átadott
transport,szállítás
trap,csapda
trapped,csapdába esett
trash,szemét
trauma,sérülés
travel,utazás
traveling,utazó
travis,travis
treasure,kincs
treat,csemege
treated,kezelt
treating,kezelés
treatment,kezelés
tree,fa
trees,fák
trevor,Trevor
trial,próba
tribe,törzs
trick,trükk
tricks,trükkök
tried,megpróbálta
tries,megpróbál
trigger,indítvány
trip,utazás
troops,csapatok
trouble,baj
troubles,baj
troy,Trója
truck,kamion
true,igaz
truly,valóban
trunk,törzs
trust,bizalom
trusted,megbízható
truth,igazság
try,próbáld ki
trying,megpróbálja
tub,kád
tube,cső
tuesday,kedd
tune,dallam
tunnel,alagút
turkey,pulyka
turn,fordulat
turned,fordult
turner,esztergályos
turning,fordulás
turns,fordul
turtle,teknősbéka
twelve,tizenkét
twenty,húsz
twice,kétszer
twin,iker
twins,Ikrek
twist,csavar
twisted,csavart
two,kettő
tyler,Tyler
type,típus
types,típus
typical,tipikus
u.s.,minket.
ugh,ugr
ugly,csúnya
uh-,uh-
uh-huh,UH Huh
uh-oh,UH Oh
uh-uh,uh-uh
uhh,uhh
ultimate,végső
unable,képtelen
unbelievable,hihetetlen
uncle,nagybácsi
uncomfortable,kényelmetlen
unconscious,öntudatlan
under,alatt
undercover,titkos
underground,föld alatt
underneath,alul
understand,megért
understanding,megértés
understands,megérti
understood,megértett
underwear,alsónemű
unexpected,váratlan
unfair,tisztességtelen
unfortunate,szerencsétlen
unfortunately,sajnálatos módon
unhappy,boldogtalan
uniform,egyenruha
union,unió
unique,egyedi
unit,Mértékegység
united,egyesült
units,egységek
universe,világegyetem
university,egyetemi
unknown,ismeretlen
unless,hacsak
unlike,nem úgy mint
until,amíg
unusual,szokatlan
upon,esetén
upper,felső
upset,szomorú
upside,felfelé forduló
upstairs,emeleten
urgent,sürgős
use,használat
used,használt
useful,hasznos
useless,hiábavaló
uses,felhasználás
using,felhasználás
usual,szokásos
usually,általában
vacation,vakáció
valentine,szerető
valley,völgy
valuable,értékes
value,érték
vampire,vámpír
van,kisteherautó
vanessa,Vanessa
various,különféle
vast,hatalmas
vault,boltozat
vegas,Vegas
vehicle,jármű
version,változat
very,nagyon
vessel,hajó
vic,VIC
vice,helyettes
victim,áldozat
victims,áldozatok
victor,győztes
victoria,Victoria
victory,győzelem
video,videó
vietnam,Vietnam
view,Kilátás
villa,villa
village,falu
vince,Vince
vincent,Vincent
violence,erőszak
violent,erőszakos
virgin,szűz
virginia,Virginia
virus,vírus
vision,látomás
visit,látogatás
visited,meglátogatott
visiting,látogató
visitor,látogató
visitors,látogatók
visual,vizuális
vital,létfontosságú
vodka,vodka
voice,hang
voices,hang
volunteer,önkéntes
von,von
vote,szavazás
voted,szavazott
votes,szavazás
vulnerable,sebezhető
wade,átgázol
wagon,vasúti kocsi
wailing,siránkozás
wait,várjon
waited,várt
waiter,pincér
waiting,várakozás
wake,ébred
walk,séta
walked,sétált
walker,járóka
walking,séta
walks,séta
wall,fal
wallet,pénztárca
walls,falak
walt,sóvárog
walter,Walter
wanna,akarok
want,akar
wanted,vágyó
wanting,vágyó
wants,akar
war,háború
ward,gyülekezet
warehouse,raktár
warm,meleg
warn,figyelmeztet
warned,figyelmeztetett
warning,Figyelem
warrant,garantál
warren,háborút
warrior,harcos
wars,háborúk
was,volt
wash,mosás
washed,mosott
washing,mosás
washington,Washington
wasn,volt
waste,Pazarlás
wasted,elpazarolt
wasting,pazarlás
watch,néz
watched,figyelt
watching,nézni
water,víz
waters,vizek
watson,Watson
wave,hullám
waves,hullámok
way,út
wayne,Wayne
ways,módokon
weak,gyenge
weakness,gyengeség
wealth,jólét
weapon,fegyver
weapons,fegyverek
wear,viselet
wearing,fárasztó
wears,visel
weather,időjárás
web,háló
wedding,esküvő
wednesday,szerda
wee,pici
weed,gyom
week,hét
weekend,hétvége
weeks,hetek
weight,súly
weird,furcsa
welcome,Üdvözöljük
well,jól
wendy,wendy
went,elment
were,voltak
weren,gyötrő
west,nyugat
western,nyugati
wet,nedves
wha,WHA
whale,bálna
what,mit
whatever,tök mindegy
wheel,kerék
wheels,kerekek
when,amikor
whenever,bármikor
where,ahol
wherever,bárhol
whether,hogy
which,melyik
while,míg
whimpering,nyüzsgő
whip,ostor
whirring,zümmögés
whiskey,whisky
whispering,suttogó
whispers,suttog
whistle,síp
whistles,síp
whistling,fütyülő
white,fehér
who,WHO
whoa,ki
whoever,bárki
whole,egész
whom,kit
whoo,whoo
whore,kurva
whose,akinek
why,miért
wicked,gonosz
wide,széles
widow,özvegy
wife,feleség
wild,vad
will,akarat
william,Vilmos
williams,Williams
willie,Willie
willing,hajlandó
wilson,Wilson
win,győzelem
wind,szél
window,ablak
windows,ablakok
wine,bor
wing,szárny
wings,szárnyak
winner,győztes
winning,nyerő
wins,győzelem
winter,téli
wipe,törlés
wiped,megsemmisített
wire,huzal
wisdom,bölcsesség
wise,bölcs
wish,szeretnék
wished,vágyott
wishes,kívánságok
witch,boszorkány
with,val vel
within,belül
without,nélkül
witness,tanú
witnesses,tanúk
wives,feleségek
woke,felébredt
wolf,farkas
wolves,farkasok
woman,nő
women,nők
won,nyerte
wonder,csoda
wondered,csodálkozott
wonderful,csodálatos
wondering,csodálkozó
woo,udvarol
wood,faipari
woods,fák
word,szó
words,szavak
wore,viselt
work,munka
worked,dolgozott
worker,munkás
workers,munkavállalók
working,dolgozó
works,művek
world,világ
worlds,világok
worn,kopott
worried,aggódó
worries,aggasztás
worry,aggodalom
worrying,aggasztó
worse,rosszabb
worst,legrosszabb
worth,érdemes
worthless,értéktelen
worthy,méltó
would,lenne
wouldn,nem tenné
wound,seb
wounded,sebesült
wounds,sebek
wow,Azta
wrap,betakar
wrapped,csomagolt
wreck,roncs
write,ír
writer,író
writing,írás
written,írott
wrong,rossz
wrote,írt
yang,yang
yard,udvar
yards,udvar
yay,Hurrá
yeah,igen
year,év
years,évek
yell,ordít
yelling,kiabálás
yellow,sárga
yells,kiabál
yen,jen
yep,Igen
yes,Igen
yesterday,tegnap
yet,még
york,York
you,te
you-,te-
young,fiatal
younger,fiatalabb
your,a te
yours,a tiéd
yourself,saját magad
yourselves,magatok
youth,ifjúság
yup,Aha
zero,nulla
zoe,zoe
zone,zóna
zoo,állatkert
